,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
101,101,0.179,0.167,0.190,0.413,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.205,0.199,0.621,0.179,0.236,0.179,0.179,0.179,0.179,0.179,0.168,0.179,0.156,0.173,0.179,0.179,0.240,0.179,0.208,0.179
102,102,0.212,0.201,0.212,0.581,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.241,0.580,0.497,0.212,0.659,0.212,0.212,0.212,0.212,0.209,0.237,0.318,0.226,0.242,0.241,0.212,0.212,0.209,0.318,0.212
103,103,0.463,0.463,0.463,0.574,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.466,0.291,0.463,0.466,0.463,0.463,0.463,0.463,0.463,0.463,0.374,0.663,0.463,0.463,0.463,0.463,0.463,0.374,0.463
104,104,0.210,0.181,0.210,0.591,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.195,0.196,0.625,0.210,0.643,0.210,0.210,0.210,0.210,0.276,0.257,0.210,0.210,0.210,0.210,0.210,0.464,0.259,0.210,0.210
105,105,0.323,0.323,0.323,0.659,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.272,0.532,0.431,0.323,0.664,0.323,0.323,0.323,0.323,0.506,0.490,0.323,0.323,0.323,0.323,0.405,0.384,0.490,0.473,0.323
106,106,0.696,0.696,0.696,0.632,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.564,0.629,0.696,0.564,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696
107,107,0.262,0.262,0.262,0.275,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.221,0.295,0.262,0.361,0.262,0.262,0.262,0.262,0.334,0.262,0.168,0.160,0.262,0.262,0.169,0.152,0.262,0.168,0.262
108,108,0.162,0.152,0.162,0.564,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.174,0.244,0.159,0.162,0.456,0.162,0.162,0.162,0.162,0.186,0.186,0.150,0.182,0.170,0.162,0.162,0.162,0.186,0.165,0.162
109,109,0.201,0.157,0.201,0.642,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.181,0.233,0.340,0.201,0.501,0.201,0.201,0.201,0.201,0.338,0.238,0.201,0.201,0.151,0.136,0.159,0.201,0.338,0.178,0.201
110,110,0.104,0.109,0.104,0.603,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.120,0.245,0.129,0.104,0.616,0.104,0.104,0.104,0.104,0.129,0.127,0.168,0.113,0.129,0.115,0.141,0.103,0.129,0.174,0.104
111,111,0.146,0.147,0.146,0.623,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.147,0.165,0.623,0.146,0.645,0.146,0.146,0.146,0.146,0.224,0.210,0.142,0.165,0.126,0.273,0.223,0.132,0.208,0.632,0.146
112,112,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.304,0.447,0.447,0.389,0.377,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.376,0.466,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.371,0.447,0.447,0.447
113,113,0.489,0.534,0.489,0.671,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.624,0.671,0.636,0.489,0.671,0.489,0.489,0.489,0.489,0.489,0.385,0.671,0.489,0.671,0.489,0.489,0.489,0.624,0.636,0.489
114,114,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.546,0.689,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.544,0.549,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.549,0.762,0.762,0.762
115,115,0.285,0.303,0.285,0.355,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.355,0.293,0.633,0.285,0.575,0.285,0.285,0.285,0.285,0.285,0.259,0.385,0.285,0.514,0.419,0.285,0.385,0.285,0.419,0.285
116,116,0.207,0.173,0.207,0.511,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.173,0.400,0.582,0.207,0.548,0.207,0.207,0.207,0.207,0.242,0.173,0.207,0.386,0.173,0.182,0.207,0.330,0.207,0.400,0.207
117,117,0.277,0.277,0.277,0.566,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.603,0.311,0.277,0.605,0.277,0.277,0.277,0.277,0.264,0.277,0.265,0.215,0.277,0.277,0.216,0.277,0.277,0.312,0.277
118,118,0.264,0.203,0.264,0.578,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.244,0.299,0.305,0.264,0.566,0.264,0.264,0.264,0.264,0.264,0.244,0.264,0.264,0.244,0.264,0.264,0.392,0.264,0.264,0.264
119,119,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.661,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711
120,120,0.383,0.383,0.383,0.570,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.329,0.422,0.383,0.546,0.383,0.383,0.383,0.383,0.378,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383
121,121,0.508,0.508,0.508,0.600,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.516,0.350,0.508,0.516,0.508,0.508,0.508,0.508,0.516,0.508,0.600,0.508,0.508,0.508,0.508,0.508,0.508,0.600,0.508
122,122,0.809,0.821,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.821,0.809,0.809,0.809,0.821,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809
123,123,0.665,0.665,0.665,0.672,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.672,0.665,0.665,0.672,0.665,0.665,0.665,0.665,0.672,0.665,0.672,0.665,0.665,0.665,0.665,0.665,0.665,0.672,0.665
124,124,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781
125,125,0.350,0.350,0.350,0.666,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.666,0.666,0.350,0.666,0.350,0.350,0.350,0.350,0.355,0.350,0.666,0.666,0.350,0.350,0.381,0.350,0.350,0.666,0.350
126,126,0.420,0.420,0.420,0.663,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.663,0.663,0.420,0.663,0.420,0.420,0.420,0.420,0.420,0.420,0.463,0.318,0.420,0.301,0.420,0.355,0.420,0.318,0.420
127,127,0.532,0.532,0.532,0.619,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.431,0.538,0.532,0.597,0.532,0.532,0.532,0.532,0.532,0.532,0.401,0.532,0.532,0.401,0.401,0.402,0.532,0.532,0.532
128,128,0.298,0.341,0.298,0.660,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.409,0.387,0.432,0.298,0.554,0.298,0.298,0.298,0.298,0.298,0.341,0.298,0.379,0.298,0.298,0.298,0.298,0.298,0.379,0.298
129,129,0.211,0.195,0.211,0.440,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.153,0.217,0.309,0.211,0.348,0.211,0.211,0.211,0.211,0.305,0.151,0.174,0.299,0.162,0.211,0.179,0.211,0.160,0.174,0.211
130,130,0.253,0.218,0.253,0.522,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.222,0.252,0.598,0.253,0.633,0.253,0.253,0.253,0.253,0.253,0.230,0.253,0.253,0.222,0.439,0.254,0.358,0.252,0.265,0.253
131,131,0.608,0.608,0.608,0.646,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.647,0.648,0.608,0.647,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
132,132,0.474,0.474,0.474,0.468,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.457,0.557,0.474,0.468,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.457,0.474
133,133,0.441,0.441,0.441,0.556,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.530,0.666,0.441,0.530,0.441,0.441,0.441,0.441,0.441,0.441,0.488,0.441,0.441,0.441,0.441,0.390,0.441,0.488,0.441
134,134,0.014,0.014,0.014,0.082,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.026,0.021,0.014,0.087,0.014,0.014,0.014,0.014,0.018,0.016,0.018,0.020,0.015,0.016,0.014,0.021,0.014,0.023,0.014
135,135,0.279,0.284,0.279,0.619,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.319,0.520,0.537,0.279,0.600,0.279,0.279,0.279,0.279,0.279,0.231,0.279,0.515,0.319,0.279,0.279,0.279,0.279,0.279,0.279
136,136,0.516,0.475,0.516,0.662,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.344,0.383,0.516,0.516,0.662,0.516,0.516,0.516,0.516,0.662,0.164,0.516,0.516,0.263,0.516,0.233,0.516,0.164,0.516,0.516
137,137,0.542,0.542,0.542,0.568,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.590,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.568,0.542,0.542,0.542,0.542,0.542,0.542,0.542
138,138,0.408,0.234,0.408,0.663,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.216,0.608,0.388,0.408,0.663,0.408,0.408,0.408,0.408,0.663,0.283,0.369,0.408,0.283,0.408,0.247,0.408,0.356,0.369,0.408
139,139,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.539,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
140,140,0.287,0.217,0.287,0.598,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.140,0.283,0.287,0.287,0.627,0.287,0.287,0.287,0.287,0.627,0.351,0.262,0.287,0.103,0.287,0.156,0.287,0.280,0.262,0.287
141,141,0.185,0.185,0.185,0.618,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.148,0.216,0.341,0.185,0.621,0.185,0.185,0.185,0.185,0.375,0.247,0.193,0.185,0.146,0.220,0.185,0.334,0.232,0.184,0.185
142,142,0.391,0.344,0.391,0.656,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.449,0.497,0.657,0.391,0.656,0.391,0.391,0.391,0.391,0.391,0.344,0.391,0.391,0.564,0.391,0.391,0.391,0.391,0.391,0.391
143,143,0.079,0.074,0.079,0.322,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.118,0.123,0.109,0.079,0.442,0.079,0.079,0.079,0.079,0.147,0.163,0.106,0.084,0.118,0.081,0.080,0.087,0.152,0.099,0.079
144,144,0.135,0.135,0.135,0.287,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.081,0.376,0.117,0.135,0.388,0.135,0.135,0.135,0.135,0.157,0.086,0.100,0.113,0.135,0.091,0.101,0.084,0.081,0.146,0.135
145,145,0.316,0.347,0.316,0.542,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.365,0.412,0.636,0.316,0.500,0.316,0.316,0.316,0.316,0.316,0.338,0.316,0.316,0.359,0.316,0.316,0.316,0.316,0.316,0.316
146,146,0.205,0.176,0.205,0.639,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.260,0.563,0.189,0.205,0.571,0.205,0.205,0.205,0.205,0.495,0.196,0.306,0.205,0.247,0.205,0.205,0.205,0.218,0.307,0.205
147,147,0.159,0.135,0.159,0.536,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.233,0.252,0.191,0.159,0.480,0.159,0.159,0.159,0.159,0.185,0.135,0.159,0.159,0.124,0.159,0.176,0.163,0.184,0.159,0.159
148,148,0.265,0.265,0.265,0.582,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.180,0.438,0.376,0.265,0.451,0.265,0.265,0.265,0.265,0.261,0.265,0.192,0.163,0.265,0.152,0.208,0.265,0.265,0.208,0.265
149,149,0.274,0.243,0.274,0.583,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.432,0.274,0.666,0.274,0.666,0.274,0.274,0.274,0.274,0.666,0.666,0.274,0.274,0.462,0.274,0.274,0.274,0.488,0.274,0.274
150,150,0.796,0.816,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.816,0.796,0.796,0.796,0.816,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
151,151,0.022,0.020,0.022,0.056,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.062,0.031,0.022,0.156,0.022,0.022,0.022,0.022,0.048,0.020,0.020,0.021,0.019,0.022,0.024,0.023,0.020,0.030,0.022
152,152,0.694,0.694,0.694,0.607,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.559,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
153,153,0.359,0.314,0.359,0.642,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.433,0.642,0.352,0.359,0.659,0.359,0.359,0.359,0.359,0.311,0.367,0.637,0.359,0.659,0.359,0.309,0.359,0.541,0.620,0.359
154,154,0.659,0.659,0.659,0.612,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.614,0.653,0.659,0.614,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659
155,155,0.219,0.199,0.219,0.663,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.178,0.260,0.333,0.219,0.555,0.219,0.219,0.219,0.219,0.340,0.178,0.219,0.219,0.177,0.219,0.219,0.219,0.171,0.241,0.219
156,156,0.378,0.352,0.378,0.440,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.449,0.422,0.570,0.378,0.605,0.378,0.378,0.378,0.378,0.378,0.406,0.378,0.378,0.429,0.378,0.378,0.378,0.378,0.378,0.378
157,157,0.154,0.151,0.154,0.554,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.159,0.378,0.260,0.154,0.554,0.154,0.154,0.154,0.154,0.280,0.159,0.157,0.154,0.159,0.162,0.166,0.158,0.145,0.161,0.154
158,158,0.324,0.324,0.324,0.659,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.403,0.345,0.324,0.663,0.324,0.324,0.324,0.324,0.324,0.324,0.403,0.286,0.324,0.244,0.324,0.307,0.324,0.250,0.324
159,159,0.648,0.648,0.648,0.559,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.667,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648
160,160,0.175,0.150,0.175,0.640,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.293,0.463,0.642,0.175,0.640,0.175,0.175,0.175,0.175,0.417,0.213,0.199,0.175,0.210,0.213,0.308,0.459,0.213,0.284,0.175
161,161,0.266,0.198,0.266,0.640,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.333,0.246,0.563,0.266,0.643,0.266,0.266,0.266,0.266,0.291,0.329,0.266,0.266,0.320,0.266,0.266,0.423,0.291,0.266,0.266
162,162,0.189,0.249,0.189,0.507,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.185,0.512,0.599,0.189,0.445,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.185,0.189,0.189,0.321,0.189,0.224,0.189
163,163,0.633,0.633,0.633,0.663,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.662,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633
164,164,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.652,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704
165,165,0.411,0.411,0.411,0.222,0.411,0.411,0.411,0.411,0.190,0.411,0.215,0.411,0.411,0.318,0.285,0.411,0.411,0.221,0.411,0.411,0.411,0.411,0.411,0.411,0.285,0.411,0.312,0.411,0.411,0.411,0.222,0.411,0.411
166,166,0.452,0.497,0.452,0.553,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.495,0.452,0.667,0.452,0.495,0.452,0.452,0.452,0.452,0.452,0.497,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452
167,167,0.286,0.369,0.286,0.300,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.452,0.286,0.563,0.286,0.605,0.286,0.286,0.286,0.286,0.286,0.288,0.286,0.286,0.571,0.368,0.286,0.286,0.286,0.286,0.286
168,168,0.240,0.390,0.240,0.566,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.387,0.219,0.399,0.240,0.465,0.240,0.240,0.240,0.240,0.240,0.362,0.240,0.240,0.263,0.240,0.240,0.240,0.240,0.240,0.240
169,169,0.791,0.521,0.791,0.791,0.791,0.791,0.791,0.791,0.520,0.791,0.534,0.791,0.791,0.534,0.791,0.791,0.791,0.513,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791
170,170,0.651,0.651,0.651,0.555,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.589,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
171,171,0.301,0.318,0.301,0.603,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.318,0.581,0.649,0.301,0.600,0.301,0.301,0.301,0.301,0.301,0.314,0.539,0.301,0.380,0.319,0.301,0.301,0.301,0.542,0.301
172,172,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794
173,173,0.244,0.244,0.244,0.580,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.554,0.583,0.244,0.583,0.244,0.244,0.244,0.244,0.299,0.244,0.183,0.187,0.244,0.207,0.244,0.206,0.244,0.194,0.244
174,174,0.258,0.222,0.258,0.656,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.171,0.242,0.169,0.258,0.444,0.258,0.258,0.258,0.258,0.347,0.171,0.213,0.192,0.162,0.258,0.258,0.258,0.202,0.208,0.258
175,175,0.212,0.212,0.212,0.147,0.164,0.110,0.108,0.112,0.212,0.212,0.143,0.212,0.212,0.118,0.120,0.146,0.212,0.119,0.212,0.212,0.212,0.212,0.212,0.185,0.115,0.123,0.184,0.138,0.157,0.125,0.121,0.212,0.212
176,176,0.275,0.277,0.275,0.629,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.134,0.647,0.249,0.275,0.658,0.275,0.275,0.275,0.275,0.658,0.189,0.317,0.275,0.182,0.275,0.639,0.275,0.181,0.317,0.275
177,177,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745
178,178,0.557,0.542,0.557,0.628,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.646,0.557,0.557,0.557,0.646,0.557,0.557,0.557,0.557,0.557,0.512,0.557,0.557,0.650,0.557,0.557,0.557,0.557,0.557,0.557
179,179,0.505,0.298,0.505,0.471,0.505,0.505,0.505,0.505,0.299,0.505,0.224,0.505,0.505,0.272,0.362,0.505,0.505,0.299,0.505,0.505,0.505,0.505,0.505,0.364,0.505,0.505,0.364,0.505,0.364,0.505,0.362,0.505,0.505
180,180,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
181,181,0.662,0.662,0.662,0.216,0.662,0.662,0.662,0.662,0.662,0.662,0.646,0.662,0.662,0.207,0.250,0.662,0.662,0.389,0.662,0.662,0.662,0.662,0.662,0.389,0.662,0.662,0.389,0.662,0.389,0.662,0.389,0.662,0.662
182,182,0.289,0.215,0.289,0.663,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.535,0.479,0.315,0.289,0.663,0.289,0.289,0.289,0.289,0.489,0.535,0.289,0.289,0.550,0.289,0.490,0.289,0.371,0.289,0.289
183,183,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.396,0.717,0.717,0.717
184,184,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
185,185,0.179,0.168,0.179,0.629,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.465,0.223,0.326,0.179,0.652,0.179,0.179,0.179,0.179,0.302,0.641,0.179,0.326,0.640,0.263,0.179,0.325,0.157,0.328,0.179
186,186,0.279,0.286,0.279,0.665,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.286,0.630,0.414,0.279,0.665,0.279,0.279,0.279,0.279,0.397,0.279,0.665,0.210,0.279,0.279,0.279,0.279,0.233,0.665,0.279
187,187,0.390,0.390,0.390,0.657,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.390,0.411,0.656,0.390,0.411,0.390,0.390,0.390,0.390,0.390,0.390,0.488,0.657,0.390,0.390,0.390,0.390,0.390,0.488,0.390
188,188,0.105,0.095,0.105,0.370,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.118,0.306,0.164,0.105,0.466,0.105,0.105,0.105,0.105,0.161,0.161,0.168,0.124,0.115,0.126,0.175,0.105,0.200,0.126,0.105
189,189,0.122,0.125,0.122,0.607,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.125,0.218,0.613,0.122,0.642,0.122,0.122,0.122,0.122,0.181,0.121,0.169,0.306,0.118,0.124,0.203,0.283,0.122,0.218,0.122
190,190,0.079,0.075,0.079,0.374,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.085,0.107,0.099,0.079,0.423,0.079,0.079,0.079,0.079,0.188,0.147,0.081,0.079,0.077,0.081,0.081,0.081,0.140,0.089,0.079
191,191,0.489,0.489,0.489,0.489,0.489,0.345,0.489,0.489,0.489,0.489,0.335,0.409,0.489,0.489,0.333,0.489,0.489,0.489,0.489,0.489,0.341,0.282,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.386,0.489,0.489,0.489
192,192,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756
193,193,0.151,0.151,0.151,0.560,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.092,0.195,0.129,0.151,0.481,0.151,0.151,0.151,0.151,0.131,0.151,0.133,0.112,0.151,0.119,0.131,0.117,0.151,0.117,0.151
194,194,0.185,0.217,0.185,0.583,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.383,0.211,0.605,0.185,0.639,0.185,0.185,0.185,0.185,0.163,0.230,0.255,0.371,0.245,0.288,0.185,0.215,0.146,0.368,0.185
195,195,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.358,0.599,0.599,0.413,0.409,0.599,0.599,0.599,0.341,0.599,0.599,0.599,0.599,0.454,0.397,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.389,0.599,0.599,0.599
196,196,0.436,0.436,0.436,0.666,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.380,0.436,0.436,0.666,0.436,0.436,0.436,0.436,0.292,0.236,0.436,0.331,0.436,0.436,0.436,0.436,0.236,0.436,0.436
197,197,0.776,0.799,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.799,0.776,0.776,0.776,0.799,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776
198,198,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748
199,199,0.202,0.186,0.147,0.641,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.156,0.519,0.281,0.202,0.519,0.202,0.202,0.202,0.202,0.435,0.144,0.154,0.202,0.156,0.202,0.151,0.202,0.150,0.260,0.202
200,200,0.208,0.208,0.208,0.146,0.208,0.117,0.208,0.149,0.208,0.208,0.127,0.172,0.208,0.208,0.135,0.136,0.208,0.146,0.208,0.208,0.183,0.184,0.208,0.146,0.208,0.158,0.146,0.146,0.235,0.125,0.146,0.208,0.208
201,201,0.427,0.427,0.427,0.536,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.536,0.427,0.669,0.427,0.534,0.427,0.427,0.427,0.427,0.536,0.536,0.427,0.427,0.427,0.427,0.427,0.427,0.536,0.427,0.427
202,202,0.032,0.032,0.032,0.262,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.038,0.116,0.034,0.032,0.295,0.032,0.032,0.032,0.032,0.079,0.041,0.033,0.030,0.036,0.032,0.040,0.036,0.040,0.037,0.032
